q_LaB6AgBehehnate_0054_270_30	r_LaB6AgBehehnate_0054_270_30	s_LaB6AgBehehnate_0054_270_30	w_LaB6AgBehehnate_0054_270_30
0.99752194	617.77899	0.63521129	0.019436756
1.0323244	612.71918	0.60769558	0.0199806
1.0683411	639.55341	0.79328483	0.020547146
1.1056144	618.00916	0.58851755	0.021137077
1.1441882	618.92487	0.62736279	0.021751171
1.1841078	642.98163	0.79599196	0.022390088
1.22542	621.46912	0.6368643	0.023054879
1.2681737	628.38989	0.57154971	0.023746172
1.3124189	628.05872	0.55480701	0.024464911
1.3582079	943.28894	4.7540016	0.025211899
1.4055943	804.15747	4.1891809	0.025988221
1.4546341	659.02997	0.6471619	0.026794687
1.5053848	2142.259	221.86327	0.027632261
1.557906	675.25323	0.65429389	0.028502094
1.6122597	898.08496	3.8007221	0.029405167
1.6685098	695.20813	0.97999322	0.030342543
1.7267225	648.00659	0.51193309	0.031315304
1.786966	795.24554	2.4149094	0.032324791
1.8493114	730.4538	0.62517089	0.033372078
1.9138319	778.29169	0.81165648	0.03445835
1.9806035	716.67242	2.5827584	0.035585172
2.0497048	659.37292	0.53346664	0.036753498
2.1212168	1890.1312	83.193962	0.037965063
2.1952238	632.27472	2.4573545	0.039221138
2.2718129	634.66553	0.70159179	0.03921761
