q_AgBehenateLaB6_0059_C	r_AgBehenateLaB6_0059_C	s_AgBehenateLaB6_0059_C	w_AgBehenateLaB6_0059_C
2.0453308	773.78467	0.54890001	0.010046918
2.0478482	774.60651	0.38101289	0.01004643
2.0503654	774.45361	0.64578587	0.010045824
2.0528829	774.03961	0.42614925	0.010045232
2.0554001	771.63409	0.60708338	0.010044626
2.0579176	762.81317	0.5415954	0.010044035
2.0604348	759.76752	0.30586779	0.010043428
2.0629523	760.21259	2.2102578	0.010042955
2.0654695	749.16046	0.7950815	0.010042216
2.0679867	743.46478	1.0965636	0.010041624
2.0705042	742.80591	0.62665099	0.010041136
2.0730214	738.80115	0.04914711	0.01004053
2.0755389	736.31635	0.57200086	0.010039939
2.0780561	738.00751	0.19330627	0.010039348
2.0805736	739.21747	1.9938409	0.010038741
2.0830908	739.18359	0.66847795	0.010038135
2.0856082	741.21423	0.59711617	0.010037662
2.0881255	743.44421	0.74073762	0.010036937
2.0906427	746.4082	0.4327586	0.010036331
2.0931602	746.55359	0.23963825	0.010035858
2.0956774	746.89343	0.84015483	0.010035251
2.0981948	748.78528	0.97417104	0.010034527
2.1007121	748.36859	0.72878003	0.010033936
2.1032295	746.60059	0.60931265	0.010033329
2.1057467	741.75989	0.62669492	0.010032739
2.1082642	744.69171	0.62843418	0.010032251
2.1107814	743.49469	0.3542009	0.010031526
2.1132987	746.05035	0.69606626	0.010031053
2.1158161	752.16443	0.91491306	0.010030447
2.1183333	755.06274	0.29705897	0.010029737
2.1208508	759.92395	0.55437791	0.010029131
2.123368	766.24176	0.8302182	0.010028524
2.1258855	779.46838	0.85862124	0.010027918
2.1284027	810.43115	1.4068137	0.010027327
2.1309202	860.38287	3.0340309	0.01002672
2.1334374	963.65332	6.291039	0.010026129
2.1359549	1197.0116	16.621891	0.010025508
2.1384721	1904.5809	53.58271	0.010024916
2.1409893	4935.4497	475.93927	0.010024207
2.1435068	11147.248	1773.4291	0.010023719
2.146024	13935.302	1312.8671	0.010023112
2.1485415	17654.848	3065.5322	0.010022388
2.1510587	8316.5908	608.93909	0.010021796
2.1535761	3904.01	289.69748	0.01002119
2.1560934	2266.4287	255.01125	0.010020584
2.1586108	1227.5426	32.279617	0.010019992
2.161128	935.0929	8.773571	0.010019386
2.1636453	833.99969	3.8062294	0.010018677
2.1661627	783.03802	1.8342074	0.010018189
2.16868	761.55902	1.0843942	0.010017582
2.1711974	745.99701	0.59097713	0.010016991
2.1737146	736.0224	0.73741114	0.010016266
2.1762321	729.35999	0.42035353	0.01001566
2.1787493	723.51868	0.66347182	0.010015054
2.1812668	717.79169	0.47015616	0.010014462
2.183784	713.72028	0.45622352	0.010013856
2.1863012	709.27063	0.45832255	0.010013146
2.1888187	707.60651	0.95055676	0.01001254
2.1913359	706.00037	0.40925956	0.010011934
2.1938534	709.42731	0.55129945	0.010011342
2.1963706	712.43341	0.62216043	0.010010736
2.1988881	714.63892	0.22213498	0.010010011
2.2014053	716.93109	0.47702974	0.010009405
2.2039227	717.67255	0.49502027	0.010008814
2.20644	722.47241	0.63470715	0.010008208
2.2089574	724.57947	0.87649727	0.010007498
2.2114747	726.25323	0.46083152	0.01000701
2.2139919	728.98474	0.55708146	0.010006301
2.2165093	724.92572	0.76389802	0.010005679
2.2190266	723.31982	0.82651138	0.010005088
2.221544	715.74902	0.58928746	0.010004481
2.2240613	712.94092	0.76665223	0.010003757
2.2265787	706.56506	0.66216427	0.010003165
2.2290959	701.32068	1.3215722	0.010002559
2.2316134	697.53119	1.4108338	0.01000185
2.2341306	694.51471	0.70663953	0.010001228
2.2366478	693.42279	0.72890472	0.010000534
2.2391653	692.80945	0.69547606	0.0099999281
2.2416825	692.79742	0.79084218	0.0099994242
2.2442	692.79852	0.57448179	0.0099987304
2.2467172	691.38104	0.69271421	0.00999799
2.2492347	694.22827	0.6142121	0.0099973995
2.2517519	692.80029	0.5028367	0.009996675
2.2542694	690.78644	0.59281242	0.009996186
2.2567866	689.85187	0.30546141	0.0099954773
2.2593038	689.04639	0.32594365	0.009994871
2.2618213	688.76654	0.49299109	0.0099941464
2.2643385	686.08533	1.3372767	0.0099935401
2.266856	690.47369	1.1798446	0.0099929487
2.2693732	692.41693	1.0948035	0.0099923424
2.2718906	695.97223	1.4255735	0.0099916179
2.2744079	697.50623	0.83920783	0.0099909082
2.2769253	701.62244	0.33735225	0.0099903019
2.2794425	703.33258	0.6763978	0.0099896956
2.28196	708.7558	0.74822915	0.009988986
2.2844772	708.77112	0.74409032	0.0099883797
2.2869945	709.01038	0.75742662	0.0099877883
2.2895119	710.64673	0.38580519	0.0099870488
2.2920291	709.32001	0.94704103	0.0099864574
2.2945466	712.53583	0.78851557	0.0099857328
2.2970638	707.81506	0.37166804	0.0099851415
2.2995813	710.47308	0.45135823	0.0099844169
2.3020985	713.64545	0.55423343	0.0099838106
2.304616	715.54504	0.3743915	0.0099831009
2.3071332	722.48364	0.29599193	0.0099824797
2.3096504	723.81085	0.80922067	0.0099818883
2.3121679	729.44604	0.31996307	0.0099811787
2.3146851	741.96161	0.30509171	0.0099804392
2.3172026	755.29718	0.49795687	0.0099798478
2.3197198	763.28571	0.51984	0.0099792415
2.3222373	770.93219	0.52014178	0.0099786352
2.3247545	775.13129	0.59717518	0.0099779256
2.3272719	778.59357	0.19349188	0.0099773193
2.3297892	773.77893	0.50512493	0.0099765947
2.3323064	776.38818	0.33128408	0.009975885
2.3348238	778.18506	0.3431941	0.0099752788
2.3373411	784.73822	0.9330551	0.0099745542
2.3398585	790.14209	0.71085131	0.0099738445
2.3423758	794.95886	0.95415568	0.0099732233
2.3448932	798.75061	0.6482923	0.0099727502
2.3474104	810.42065	0.67575568	0.0099719074
2.3499279	819.97852	0.89458209	0.009971316
2.3524451	830.26825	0.959337	0.0099705914
2.3549626	841.77246	0.98970127	0.0099698668
2.3574798	845.26959	0.36306185	0.0099692764
2.359997	843.4527	0.67247456	0.0099686692
2.3625145	838.19336	0.45199183	0.0099679446
2.3650317	829.02771	0.61531538	0.00996722
2.3675492	826.59698	0.51801687	0.0099666296
2.3700664	834.07715	0.48366508	0.0099657867
2.3725839	849.29706	1.1417176	0.0099651795
2.3751011	876.39093	0.95291781	0.0099644708
2.3776186	900.86542	0.90830266	0.0099638645
2.3801358	912.20435	0.53063267	0.0099631399
2.382653	909.60968	0.51572138	0.0099624153
2.3851705	894.49805	0.26089919	0.0099618081
2.3876877	870.91437	0.14193369	0.0099610994
2.3902051	852.83295	0.17861581	0.0099604931
2.3927224	836.77917	0.28026021	0.0099597685
2.3952398	820.44305	2.2741246	0.0099590588
2.3977571	801.91418	2.4897442	0.0099584525
2.4002745	780.14441	1.5698141	0.0099578612
2.4027917	753.00604	0.57540786	0.0099571217
2.405309	735.55554	0.77008235	0.009956412
2.4078264	726.93768	0.6541447	0.0099556874
2.4103436	718.74786	0.84069747	0.0099549629
2.4128611	713.52698	1.4088814	0.0099543566
2.4153783	705.30518	0.56499702	0.0099536469
2.4178958	701.65857	0.66659027	0.0099529224
2.420413	696.48846	0.62088966	0.009952331
2.4229305	696.8222	0.46799234	0.0099515915
2.4254477	691.99762	0.61251885	0.0099509852
2.4279652	692.48627	0.98563504	0.0099502755
2.4304824	693.71814	0.65513247	0.0099495659
2.4329996	692.03113	0.7541613	0.0099488413
2.4355171	692.74524	0.83723193	0.009948235
2.4380343	694.29663	0.53140211	0.0099474071
2.4405518	692.11255	0.76492339	0.0099468008
2.443069	692.20844	0.66235799	0.0099460613
2.4455864	687.98401	0.77589822	0.0099454699
2.4481037	687.1911	0.23298013	0.0099446271
2.4506211	686.36768	0.59917593	0.0099440357
2.4531384	687.46588	0.41428018	0.0099433111
2.4556556	689.01715	0.6011548	0.0099425865
2.458173	690.80432	0.73594469	0.0099419802
2.4606903	694.07379	0.715195	0.0099411374
2.4632077	701.40588	0.7028569	0.009940546
2.4657249	705.65186	0.43792304	0.0099397032
2.4682424	713.88849	0.54116571	0.0099390969
2.4707596	720.06622	0.58126676	0.0099383723
2.4732771	735.35297	0.11386918	0.009937766
2.4757943	741.12048	0.58486366	0.0099369381
2.4783115	739.20557	0.90576464	0.0099363318
2.480829	737.24646	1.4274069	0.0099356072
2.4833462	725.23199	0.80103016	0.0099348826
2.4858637	713.26813	0.93103576	0.0099342912
2.4883809	709.203	4.1270099	0.0099334484
2.4908984	700.89069	1.3538529	0.0099328579
2.4934156	689.83545	0.60818505	0.0099321334
2.4959331	690.47748	0.61798602	0.0099314079
2.4984503	689.21484	0.30744967	0.0099305809
2.5009677	691.43146	1.2363802	0.0099298563
2.503485	684.6922	0.43502679	0.0099292342
2.5060022	686.12933	0.8964113	0.0099285254
2.5085196	687.28137	0.62229341	0.0099278158
2.5110369	689.5011	0.61434335	0.0099270912
2.5135543	689.04553	0.39140564	0.0099263508
2.5160716	689.22461	0.45654762	0.0099256421
2.518589	680.99493	0.27395576	0.0099249175
2.5211062	677.14459	0.98830491	0.0099243112
2.5236237	669.84778	0.39189777	0.0099234683
2.5261409	662.93854	0.59491718	0.0099228611
2.5286582	657.11993	0.59234113	0.0099220341
2.5311756	655.26068	0.52836823	0.0099214427
2.5336928	654.42175	0.50694817	0.0099207181
2.5362103	652.72888	0.48639244	0.0099199787
2.5387275	657.11224	0.44074458	0.009919269
2.541245	658.05145	0.33177549	0.0099185444
2.5437622	660.35181	0.5723539	0.0099177165
2.5462797	669.43317	0.52684987	0.0099171102
2.5487969	678.29022	0.2569966	0.0099162674
2.5513144	686.42749	0.89491498	0.0099156611
2.5538316	693.83795	0.48437774	0.0099148331
2.5563488	695.76648	0.32551607	0.0099142268
2.5588663	702.1839	0.56106931	0.009913384
2.5613835	698.41663	0.46828473	0.0099126594
2.5639009	694.30176	0.45723823	0.0099120531
2.5664182	686.3808	0.66657215	0.0099113435
2.5689356	683.9873	0.56151688	0.009910604
2.5714529	684.13721	0.58904397	0.009909776
2.5739703	682.79248	0.5822711	0.0099090664
2.5764875	683.09808	0.53752589	0.0099083269
2.5790048	682.3783	0.66697252	0.0099076023
2.5815222	678.45728	0.41372842	0.0099068927
2.5840394	673.31757	0.61155415	0.0099061681
2.5865569	673.19891	0.74761426	0.0099054435
2.5890741	668.84369	0.55675602	0.009904719
2.5915916	667.09552	0.67037618	0.0099040093
2.5941088	667.14539	0.73077881	0.0099032847
2.5966263	669.98615	0.56147093	0.0099025602
2.5991435	667.84485	0.58738399	0.0099017331
2.6016607	668.17584	0.51848352	0.0099010086
2.6041782	674.72382	0.71372455	0.0099002831
2.6066954	677.63739	0.58976781	0.0098995585
2.6092129	682.88287	0.71364033	0.0098988339
2.6117301	697.45245	1.2185618	0.0098979911
2.6142476	728.62299	3.1929986	0.0098972823
2.6167648	804.02631	9.3570633	0.0098965578
2.6192822	1139.4215	79.960701	0.0098958332
2.6217995	2028.9747	227.19179	0.0098951235
2.6243169	2780.2163	137.69151	0.0098943831
2.6268342	4987.644	551.60449	0.0098935403
2.6293514	5126.0366	347.80188	0.009892934
2.6318688	4191.1812	264.76105	0.0098922253
2.6343861	4473.1426	1126.8883	0.0098913973
2.6369035	1941.2168	180.61549	0.0098906578
2.6394207	1209.6957	132.19147	0.0098899323
2.6419382	833.20197	12.652377	0.0098891053
2.6444554	753.01056	5.0303311	0.009888499
2.6469729	718.28943	2.4414206	0.0098876711
2.6494901	708.33704	2.4678555	0.0098869316
2.6520073	720.74164	11.095185	0.0098860888
2.6545248	743.81012	21.329517	0.0098853791
2.657042	706.84387	3.3768625	0.0098846545
2.6595595	702.71503	1.0938013	0.00988393
2.6620767	709.1507	0.77746701	0.0098830871
2.6645942	709.18115	0.50732541	0.0098823775
2.6671114	702.22937	0.64877647	0.0098816529
2.6696289	700.36554	0.73309076	0.0098809283
2.6721461	686.55035	0.49066421	0.0098802038
2.6746633	674.64514	0.86604613	0.0098794792
2.6771808	668.81018	1.8881541	0.0098786363
2.679698	656.80341	0.6430099	0.0098777935
2.6822155	651.96942	0.61072099	0.0098770838
2.6847327	646.2251	0.4611516	0.0098763742
2.6872501	645.79651	0.60706896	0.0098755313
2.6897674	646.1062	0.53598303	0.0098747918
2.6922848	644.56512	0.6674965	0.0098740822
2.694802	646.50537	0.50072616	0.0098733576
2.6973195	646.20386	0.65461838	0.009872633
2.6998367	651.38885	0.7121883	0.0098717902
2.702354	652.27246	0.81647497	0.0098709473
2.7048714	651.99615	0.61887604	0.009870341
2.7073886	651.81018	0.72438955	0.0098695131
2.7099061	651.2475	0.64397442	0.0098687885
2.7124233	647.19769	0.52817863	0.0098679457
2.7149408	649.00433	0.71065122	0.0098672211
2.717458	646.83185	1.4319724	0.0098663941
2.7199755	642.58936	0.59031355	0.0098656695
2.7224927	639.24908	0.75304174	0.0098648267
2.7250099	637.29865	0.45607424	0.0098641012
2.7275274	636.18634	0.75237083	0.0098633924
2.7300446	640.07422	0.81697845	0.009862652
2.7325621	640.99225	0.68908513	0.009861825
2.7350793	644.92694	0.5977453	0.0098611005
2.7375968	649.12408	0.85778362	0.0098603759
2.740114	656.64075	0.76438385	0.009859548
2.7426314	664.1933	0.58712649	0.0098586902
2.7451487	671.69794	0.7035411	0.0098579647
2.7476659	681.7843	0.49364281	0.009857256
2.7501833	684.45605	0.982099	0.0098564131
2.7527006	688.47058	0.66777915	0.0098555703
2.755218	691.29193	0.46077564	0.0098548457
2.7577353	691.05524	0.63333154	0.0098540178
2.7602527	686.40399	0.87322044	0.0098532783
2.7627699	681.48834	0.94832808	0.0098525537
2.7652874	670.75262	0.80091119	0.0098517258
2.7678046	667.24292	0.81444675	0.0098510012
2.7703221	662.71167	0.71121246	0.0098501584
2.7728393	659.32642	0.43379009	0.0098494338
2.7753565	656.7558	0.63293362	0.0098485909
2.777874	653.66046	0.64347267	0.0098478813
2.7803912	651.80658	0.62020248	0.0098470384
2.7829087	650.93353	1.29415	0.0098463139
2.7854259	649.24475	0.61184829	0.0098454859
2.7879434	646.24683	0.71598619	0.0098447613
2.7904606	643.51752	0.67147738	0.0098439185
2.792978	644.33423	0.98399478	0.0098430607
2.7954953	646.34857	0.63551611	0.0098423511
2.7980125	649.28314	0.78648537	0.0098415082
2.80053	653.30469	0.66772705	0.0098406654
2.8030472	656.55554	0.5841409	0.0098399408
2.8055646	657.43988	0.7654621	0.0098392311
2.8080819	665.09247	0.84318161	0.0098383883
2.8105993	665.4635	0.55237472	0.0098376637
2.8131166	670.07477	0.95725203	0.009836806
2.815634	677.67871	0.77263427	0.009835978
2.8181512	684.63403	0.89183414	0.0098351352
2.8206685	698.32776	0.89160675	0.0098344265
2.8231859	724.20612	0.96799845	0.0098335678
2.8257031	743.302	1.9926997	0.009832859
2.8282206	761.27539	1.3082993	0.0098320162
2.8307378	772.66736	0.7171827	0.0098312907
2.8332553	763.94226	0.92569828	0.0098303296
2.8357725	756.56042	0.67618102	0.009829605
2.83829	741.15869	0.68462509	0.0098287622
2.8408072	730.83136	1.088818	0.0098280534
2.8433247	716.91626	0.6569106	0.0098271947
2.8458419	708.45416	0.63993764	0.009826486
2.8483591	700.58026	0.64087826	0.0098256432
2.8508766	696.84595	1.0621413	0.0098248003
2.8533938	689.48547	1.3216186	0.0098240757
2.8559113	683.77271	0.823044	0.0098232329
2.8584285	675.88806	0.74414808	0.0098225083
2.8609459	664.3786	0.7389822	0.0098216645
2.8634632	657.15881	0.37791473	0.0098207192
2.8659806	656.1474	0.76333487	0.0098199788
2.8684978	653.08698	0.82779765	0.0098191518
2.8710151	649.117	1.1964214	0.0098184273
2.8735325	646.93512	0.66800064	0.0098175993
2.8760498	646.49384	0.91159922	0.0098167416
2.8785672	643.85028	0.73137933	0.0098159136
2.8810844	644.81085	0.88602054	0.0098151891
2.8836019	641.51746	0.7720241	0.0098142279
2.8861191	639.40173	0.72501105	0.0098135034
2.8886366	644.12885	0.70048487	0.0098127788
2.8911538	644.59613	0.70887095	0.0098119359
2.893671	641.21344	0.6987586	0.0098110931
2.8961885	641.37939	0.71543753	0.0098102652
2.8987057	641.70557	0.58519191	0.0098094074
2.9012232	643.63745	0.88746792	0.0098086828
2.9037404	643.56189	0.73567104	0.00980784
2.9062579	647.03656	0.89552325	0.009807012
2.9087751	651.64948	0.65121728	0.0098061692
2.9112926	651.43481	0.97481477	0.0098054446
2.9138098	655.79645	0.71584278	0.0098044835
2.9163272	650.82361	0.74291205	0.0098037589
2.9188445	653.73199	0.4025822	0.0098029161
2.9213617	655.58795	0.62569183	0.0098020881
2.9238791	655.39117	0.71001667	0.0098012453
2.9263964	650.64026	0.6875686	0.0098004024
2.9289138	648.104	0.67964423	0.0097996779
2.9314311	645.94281	0.71216744	0.0097987168
2.9339485	647.43707	0.79581892	0.0097979922
2.9364657	650.74603	0.77008462	0.0097971493
2.9389832	649.00299	0.32691875	0.0097963065
2.9415004	646.53931	0.7216478	0.0097954795
2.9440176	647.50555	0.83527899	0.0097946366
2.9465351	647.34918	0.68149477	0.0097937938
2.9490523	648.25421	0.75542343	0.0097929509
2.9515698	645.63708	0.93605411	0.0097922264
2.954087	639.92102	0.71636933	0.0097913835
2.9566045	633.49451	0.73115706	0.0097904224
2.9591217	629.70197	0.57459372	0.0097895944
2.9616392	624.55341	0.54378545	0.0097887516
2.9641564	620.34076	0.69146609	0.0097879088
2.9666736	617.87781	0.67899036	0.0097871842
2.9691911	615.71942	0.79113907	0.0097862231
2.9717083	615.45862	0.3580409	0.0097854985
2.9742258	614.51038	0.58641362	0.0097846556
2.976743	614.05878	0.71733046	0.0097838128
2.9792604	610.3316	0.798563	0.00978297
2.9817777	610.0058	0.76287484	0.0097821271
2.9842951	616.38721	0.54715002	0.0097812992
2.9868124	615.04816	0.60955912	0.0097804563
2.9893298	617.66748	0.80798233	0.0097796135
2.991847	621.89783	0.71045321	0.0097787557
2.9943643	621.54639	0.53824013	0.0097779278
2.9968817	625.75452	0.67084622	0.0097770849
2.9993989	627.19849	0.58505517	0.0097763604
3.0019164	627.30023	0.41978154	0.0097753992
3.0044336	624.34656	0.69683969	0.0097745564
3.0069511	625.75128	0.66600525	0.0097738318
3.0094683	626.29773	0.54476607	0.0097728856
3.0119858	630.7677	1.0025445	0.0097720427
3.014503	635.6145	1.367933	0.0097711999
3.0170202	652.64972	2.6428187	0.0097703571
3.0195377	681.24786	5.7473531	0.0097694993
3.0220549	729.87335	12.225816	0.0097685531
3.0245724	847.70032	35.972744	0.0097678285
3.0270896	1295.7852	193.9411	0.0097669857
3.0296071	4718.0029	2169.8816	0.0097660245
3.0321243	3316.4133	448.75244	0.0097653158
3.0346417	3680.4517	584.16071	0.0097643388
3.037159	4802.2056	757.52881	0.009763496
3.0396764	2678.4158	155.67871	0.0097626531
3.0421937	1880.4005	184.6954	0.0097618103
3.0447109	1185.9277	60.979347	0.0097609833
3.0472283	876.3598	32.922028	0.0097601404
3.0497456	706.79828	3.8245001	0.0097592976
3.052263	662.74805	1.4732778	0.0097584547
3.0547802	642.88062	0.96987051	0.0097576119
3.0572977	631.66803	0.75107205	0.0097566508
3.0598149	621.47894	0.73243284	0.0097558079
3.0623324	615.69391	0.63322574	0.0097549651
3.0648496	614.84668	1.0512066	0.0097541371
3.0673668	613.29449	0.81637686	0.0097532943
3.0698843	612.38318	0.53653288	0.0097523332
3.0724015	611.72797	0.87394184	0.0097514754
3.074919	610.80322	0.86085469	0.0097507657
3.0774362	614.6712	0.78882182	0.0097497897
3.0799537	617.85797	0.74277979	0.0097489618
3.0824709	620.12524	0.64967108	0.0097481189
3.0849884	628.57031	0.68724495	0.0097472761
3.0875056	635.28711	0.60004312	0.0097464332
3.0900228	641.44916	0.69083548	0.0097454721
3.0925403	651.85565	0.92652249	0.0097446293
3.0950575	655.69641	0.73319983	0.0097437864
3.0975749	651.89838	0.66328567	0.0097429436
3.1000922	648.35358	0.54880178	0.0097419824
3.1026096	636.06189	0.636127	0.0097411545
3.1051269	625.47357	0.56786084	0.0097401785
3.1076443	621.58838	0.77461517	0.0097394688
3.1101615	616.69775	1.4728156	0.0097384928
3.112679	615.94513	1.403759	0.0097376499
3.1151962	612.79578	1.0249445	0.0097368071
3.1177135	609.07031	0.88246095	0.0097359791
3.1202309	608.53534	0.80289948	0.009735018
3.1227481	609.57349	0.66845614	0.0097341752
3.1252656	609.03314	0.71848011	0.0097333323
3.1277828	606.56531	0.5856021	0.0097324895
3.1303003	612.00458	0.75051171	0.0097315283
3.1328175	610.80438	0.62373358	0.0097306855
3.135335	612.56104	0.6856851	0.0097298585
3.1378522	615.69745	0.63921613	0.0097288815
3.1403694	616.99005	0.81729782	0.0097279362
3.1428869	616.70343	0.57816648	0.0097271958
3.1454041	614.69916	0.62853742	0.009726353
3.1479216	615.75458	0.43056947	0.0097253919
3.1504388	612.36591	0.67784947	0.009724549
3.1529562	607.7561	0.45338872	0.0097236037
3.1554735	605.0722	0.64165694	0.009722745
3.1579909	602.91888	0.67455143	0.0097217998
3.1605082	601.86029	0.76665181	0.0097209569
3.1630254	605.01276	0.57106781	0.0097201141
3.1655428	604.06708	0.87222099	0.0097192712
3.1680601	603.80408	0.60255015	0.0097183101
3.1705775	604.19952	0.72164285	0.0097174672
3.1730947	603.22131	0.74838156	0.0097165061
3.1756122	606.71686	0.70881063	0.0097155599
3.1781294	609.10699	0.83415991	0.0097147021
3.1806469	609.93311	1.2956712	0.0097138593
3.1831641	612.11249	2.377207	0.0097130165
3.1856816	610.42957	1.1422139	0.0097120702
3.1881988	607.42627	0.72553259	0.0097112274
3.190716	608.35211	0.94016999	0.0097103696
3.1932335	610.72168	0.67714846	0.0097094234
3.1957507	611.54034	0.68772709	0.0097085657
3.1982682	609.93127	0.58964276	0.0097076045
3.2007854	612.35889	0.50247347	0.0097067617
3.2033029	612.07092	0.58119488	0.0097059188
3.2058201	613.88464	0.70657158	0.0097049726
3.2083375	617.23944	0.77784878	0.0097040115
3.2108548	613.55096	0.65592104	0.0097031686
3.213372	619.12817	0.72696066	0.0097022075
3.2158895	619.35193	0.62550038	0.0097013647
3.2184067	623.15295	0.56726497	0.0097004035
3.2209241	627.19946	0.65234488	0.0096995607
3.2234414	626.95966	0.73654604	0.0096985996
3.2259588	630.58636	0.87935001	0.0096977567
3.228476	631.27405	0.72109997	0.0096967956
3.2309935	635.39008	0.69729149	0.0096959528
3.2335107	635.83582	0.67111737	0.0096949916
3.236028	635.01251	0.58911812	0.0096941646
3.2385454	636.52985	0.74202609	0.0096931877
3.2410626	639.79572	0.54265201	0.0096923448
3.2435801	638.2616	0.17425701	0.0096913837
3.2460973	634.84399	0.6372872	0.0096904384
3.2486148	629.31897	0.15250318	0.0096895797
3.251132	624.36597	0.41689235	0.0096886195
3.2536495	617.17126	0.736561	0.0096877757
3.2561667	612.53094	0.63085657	0.0096868305
3.2586842	612.56927	0.7136873	0.0096859727
3.2612014	609.27612	0.77336723	0.0096850116
3.2637186	608.04535	0.79808098	0.0096841687
3.2662361	606.19971	0.82666862	0.0096832225
3.2687533	603.41364	0.57596326	0.0096823797
3.2712708	604.56335	0.85165584	0.0096814036
3.273788	602.992	0.59937507	0.0096805608
3.2763054	599.95026	0.65414786	0.0096795997
3.2788227	597.85095	0.70456737	0.0096786534
3.2813401	595.99402	0.78361994	0.0096778106
3.2838573	596.3587	0.57755566	0.0096768346
3.2863746	595.0578	0.60009944	0.0096758734
3.288892	594.75531	0.4392001	0.0096750306
3.2914093	593.76215	0.94765562	0.0096739661
3.2939267	573.51099	2.6516383	0.0096731232
3.2964439	573.36285	2.7367556	0.0096721621
3.2989614	577.59662	2.5506716	0.0096713193
3.3014786	610.42334	4.3988376	0.0096703433
3.3039961	617.09485	4.1230574	0.009669397
3.3065133	607.04364	3.2365632	0.0096685542
3.3090305	607.52356	3.0633757	0.0096675931
3.311548	606.90576	2.8857348	0.0096667502
3.3140652	605.82825	2.6282973	0.0096657891
3.3165827	606.1391	2.5921834	0.009664828
3.3190999	606.82977	2.470114	0.0096638668
3.3216174	605.80212	2.5440598	0.009663024
3.3241346	605.31421	2.3858061	0.0096620629
3.3266521	604.51093	2.309072	0.0096610868
3.3291693	602.70789	2.2166059	0.0096602589
3.3316867	600.85162	2.146498	0.0096592978
3.334204	600.50012	2.0846562	0.0096583217
3.3367212	603.92468	2.1151018	0.0096574947
3.3392386	599.22809	1.9991797	0.0096565178
3.3417559	601.46637	2.0847821	0.0096555566
3.3442733	598.18054	2.050807	0.0096546113
3.3467906	600.04565	1.9744592	0.0096537685
3.349308	596.46295	1.6942065	0.0096528074
3.3518252	600.98932	1.8746382	0.0096518304
3.3543427	597.58331	1.7380997	0.0096508851
3.3568599	598.63898	1.7067188	0.009649924
3.3593771	596.75049	1.6253192	0.0096489629
3.3618946	595.87012	1.5771989	0.0096480018
3.3644118	595.63086	1.5359981	0.0096471589
3.3669293	596.78473	1.4436482	0.0096461829
3.3694465	598.6803	1.0558891	0.0096452218
3.371964	606.07983	1.1499293	0.0096443938
3.3744812	617.44305	1.4782938	0.0096433144
3.3769987	642.29034	2.51913	0.0096424716
3.3795159	690.40143	5.4723296	0.0096415104
3.3820331	806.65979	13.116848	0.0096405344
3.3845506	1130.7651	40.175201	0.0096397065
3.3870678	2463.1196	366.03156	0.0096387453
3.3895853	4254.1416	319.73148	0.0096377842
3.3921025	8390.3945	1168.0259	0.0096368082
3.3946199	17032.283	5779.2051	0.009635862
3.3971372	7010.2578	605.83655	0.0096349008
3.3996546	4514.376	263.48813	0.0096339397
3.4021719	2376.0464	122.09354	0.0096329637
3.4046893	1205.572	24.23455	0.0096320026
3.4072065	835.3244	9.3295393	0.0096311746
3.4097238	698.48798	3.4365137	0.0096300952
3.4122412	642.54474	1.9760972	0.0096292524
